genome_id	genome_group_id
Bacteroides-thetaiotaomicron-1-1-6_MAF-2	btheta_mixture1_cov10000
Bacteroides-thetaiotaomicron-VPI-5482_MAF-2	btheta_mixture1_cov10000
Bacteroides-thetaiotaomicron-1-1-6_MAF-2	btheta_mixture1_nopure
Bacteroides-thetaiotaomicron-VPI-5482_MAF-2	btheta_mixture1_nopure
Bacteroides-thetaiotaomicron-1-1-6_MAF-2	btheta_mixture1_cov1000
Bacteroides-thetaiotaomicron-VPI-5482_MAF-2	btheta_mixture1_cov1000
Bacteroides-thetaiotaomicron-1-1-6_MAF-2	btheta_2strains
Bacteroides-thetaiotaomicron-VPI-5482_MAF-2	btheta_2strains
Bacteroides-thetaiotaomicron-1-1-6_MAF-2	btheta_2strains_tiles_k111
Bacteroides-thetaiotaomicron-VPI-5482_MAF-2	btheta_2strains_tiles_k111
Bacteroides-thetaiotaomicron-1-1-6_MAF-2	btheta_2strains_wgs
Bacteroides-thetaiotaomicron-VPI-5482_MAF-2	btheta_2strains_wgs
ecoli_mg1655	ecoli_mixture1_cov10000
ecoli_o121h19	ecoli_mixture1_cov10000
ecoli_0157h7	ecoli_mixture1_cov10000
ecoli_14ec020	ecoli_mixture1_cov10000
ecoli_atcc11775	ecoli_mixture1_cov10000
Acidaminococcus-fermentans-DSM-20731_MAF-2	xjin
Acidaminococcus-intestini-D21_MAF-2	xjin
Adlercreutzia-equolifaciens-DSM-19450_NCBI	xjin
Akkermansia-muciniphila-ATCC-BAA-835_MAF-2	xjin
Alistipes-finegoldii-DSM-17242_NCBI	xjin
Alistipes-ihumii-AP11_MAF-2	xjin
Alistipes-indistinctus-YIT-12060_MAF-2	xjin
Alistipes-onderdonkii-DSM-19147_MAF-2	xjin
Alistipes-putredinis-DSM-17216_MAF-2	xjin
Alistipes-senegalensis-JC50_MAF-2	xjin
Alistipes-shahii-WAL-8301_MAF-2	xjin
Anaerobutyricum-hallii-DSM-3353_MAF-2	xjin
Anaerostipes-caccae-DSM-14662_MAF-2	xjin
Anaerotruncus-colihominis-DSM-17241_MAF-2	xjin
Bacteroides-caccae-ATCC-43185_MAF-2	xjin
Bacteroides-cellulosilyticus-DSM-14838_MAF-2	xjin
Bacteroides-coprocola-DSM-17136_MAF-2	xjin
Bacteroides-coprophilus-DSM-18228_MAF-2	xjin
Bacteroides-dorei-5-1-36-D4_MAF-2	xjin
Bacteroides-dorei-DSM-17855_MAF-2	xjin
Bacteroides-eggerthii-DSM-20697_MAF-2	xjin
Bacteroides-finegoldii-DSM-17565_MAF-2	xjin
Bacteroides-fragilis-2-1-16_MAF-2	xjin
Bacteroides-fragilis-3-1-12_MAF-2	xjin
Bacteroides-intestinalis-DSM-17393_MAF-2	xjin
Bacteroides-ovatus-ATCC-8483_MAF-2	xjin
Bacteroides-pectinophilus-ATCC-43243_MAF-2	xjin
Bacteroides-plebeius-DSM-17135_MAF-2	xjin
Bacteroides-rodentium-JCM-16496_MAF-2	xjin
Bacteroides-sp-2-1-22_MinIONHybrid	xjin
Bacteroides-sp-3-1-19_MAF-2	xjin
Bacteroides-sp-9-1-42FAA_MAF-2	xjin
Bacteroides-sp-D2_MAF-2	xjin
Bacteroides-stercoris-ATCC-43183_MAF-2	xjin
Bacteroides-thetaiotaomicron-1-1-6_MAF-2	xjin
Bacteroides-thetaiotaomicron-VPI-5482_MAF-2	xjin
Bacteroides-uniformis-ATCC-8492_MAF-2	xjin
Bacteroides-vulgatus-ATCC-8482_NCBI	xjin
Bacteroides-xylanisolvens-SD-CC-1b_MAF-2	xjin
Bifidobacterium-adolescentis-L2-32_MAF-2	xjin
Bifidobacterium-breve-JCM-1192_MAF-2	xjin
Bifidobacterium-catenulatum-JCM-1194_MAF-2	xjin
Bifidobacterium-longum-ATCC-15697_MAF-2	xjin
Bifidobacterium-pseudocatenulatum-JCM-1200_MAF-2	xjin
Bilophila-wadsworthia-ATCC-49260_MinIONHybrid	xjin
Blautia-hansenii-DSM-20583_MAF-2	xjin
Blautia-hydrogenotrophica-DSM-10507_MAF-2	xjin
Blautia-obeum-ATCC-29174_MAF-2	xjin
Blautia-sp-KLE-1732_MAF-2	xjin
Blautia-wexlerae-DSM-19850_MAF-2	xjin
Burkholderiales-bacterium-1-1-47_MAF-2	xjin
Butyricimonas-virosa-DSM-23226_MAF-2	xjin
Butyrivibrio-crossotus-DSM-2876_MAF-2	xjin
Catenibacterium-mitsuokai-DSM-15897_MAF-2	xjin
Clostridiales-bacterium-VE202-14_MinIONHybrid	xjin
Clostridiales-bacterium-VE202-27_MinIONHybrid	xjin
Clostridium-hylemonae-DSM-15053_MAF-2	xjin
Clostridium-leptum-DSM-753_MAF-2	xjin
Clostridium-scindens-ATCC-35704_MAF-2	xjin
Clostridium-sp-ATCC-29733_MAF-2	xjin
Clostridium-sp-D5_MAF-2	xjin
Clostridium-sp-L2-50_MinIONHybrid	xjin
Clostridium-sp-M62-1_MAF-2	xjin
Clostridium-spiroforme-DSM-1552_MAF-2	xjin
Clostridium-sporogenes-ATCC-15579_MinIONHybrid	xjin
Collinsella-aerofaciens-ATCC-25986_MAF-2	xjin
Collinsella-stercoris-DSM-13279_MAF-2	xjin
Coprococcus-comes-ATCC-27758_MAF-2	xjin
Coprococcus-eutactus-ATCC-27759_MAF-2	xjin
Desulfovibrio-piger-ATCC-29098_MAF-2	xjin
Dialister-invisus-DSM-15470_MAF-2	xjin
Dorea-formicigenerans-ATCC-27755_MAF-2	xjin
Dorea-longicatena-DSM-13814_MAF-2	xjin
Eggerthella-lenta-DSM-2243_MAF-2	xjin
Enterocloster-asparagiformis-DSM-15981_MAF-2	xjin
Enterocloster-bolteae-ATCC-BAA-613_MAF-2	xjin
Eubacterium-rectale-ATCC-33656_NCBI	xjin
Eubacterium-siraeum-DSM-15702_MAF-2	xjin
Eubacterium-ventriosum-ATCC-27560_MAF-2	xjin
Faecalibacterium-prausnitzii-A2-165_MAF-2	xjin
Granulicatella-adiacens-ATCC-49175_MAF-2	xjin
Holdemanella-biformis-DSM-3989_MAF-2	xjin
Holdemania-filiformis-DSM-12042_MAF-2	xjin
Hungatella-hathewayi-DSM-13479_MinIONHybrid	xjin
Intestinibacter-bartlettii-DSM-16795_MAF-2	xjin
Intestinimonas-butyriciproducens-DSM-26588_MAF-2	xjin
Lachnospira-eligens-ATCC-27750_MAF-2	xjin
Lacrimispora-saccharolytica-WM1_MAF-2	xjin
Lactobacillus-plantarum-ATCC-BAA-793_NCBI	xjin
Lactobacillus-ruminis-ATCC-25644_MAF-2	xjin
Lactococcus-lactis-DSMZ-20729_MAF-2	xjin
Marvinbryantia-formatexigens-DSM-14469_MAF-2	xjin
Megasphaera-DSMZ-102144_MinIONHybrid	xjin
Mitsuokella-multacida-DSM-20544_MAF-2	xjin
Odoribacter-splanchnicus-DSM-20712_MAF-2	xjin
Olsenella-uli-DSM-7084_MAF-2	xjin
Oscillibacter-sp-KLE-1728_MAF-2	xjin
Parabacteroides-distasonis-ATCC-8503_MAF-2	xjin
Parabacteroides-johnsonii-DSM-18315_MAF-2	xjin
Parabacteroides-merdae-ATCC-43184_MAF-2	xjin
Parabacteroides-sp-D13_MAF-2	xjin
Peptostreptococcus-anaerobius-ATCC-27337_MAF-2	xjin
Peptostreptococcus-sp-CC14N-HM-1051_MAF-2	xjin
Prevotella-buccae-D17_MAF-2	xjin
Prevotella-buccalis-ATCC-35310_MAF-2	xjin
Prevotella-copri-DSM-18205_MAF-2	xjin
Roseburia-intestinalis-L1-82_MAF-2	xjin
Roseburia-inulinivorans-DSM-16841_MAF-2	xjin
Ruminococcus-albus-8_MAF-2	xjin
Ruminococcus-bromii-ATCC-27255_MAF-2	xjin
Ruminococcus-gauvreauii-DSM-19829_MAF-2	xjin
Ruminococcus-gnavus-ATCC-29149_MinIONHybrid	xjin
Ruminococcus-lactaris-ATCC-29176_MAF-2	xjin
Ruminococcus-torques-ATCC-27756_MAF-2	xjin
Slackia-exigua-ATCC-700122_MAF-2	xjin
Slackia-heliotrinireducens-DSM-20476_MAF-2	xjin
Solobacterium-moorei-DSM-22971_MAF-2	xjin
Streptococcus-thermophilus-LMD-9_MAF-2	xjin
Subdoligranulum-sp-4-3-54A2FAA_MAF-2	xjin
Subdoligranulum-variabile-DSM-15176_MAF-2	xjin
Turicibacter-sanguinis-DSM-14220_MAF-2	xjin
Tyzzerella-nexilis-DSM-1787_MAF-2	xjin
Veillonella-dispar-ATCC-17748_MAF-2	xjin
Veillonella-sp-3-1-44_MAF-2	xjin
Veillonella-sp-6-1-27_MAF-2	xjin
Acidaminococcus-fermentans-DSM-20731_MAF-2	xjin_test6
Acidaminococcus-intestini-D21_MAF-2	xjin_test6
Adlercreutzia-equolifaciens-DSM-19450_NCBI	xjin_test6
Akkermansia-muciniphila-ATCC-BAA-835_MAF-2	xjin_test6
Alistipes-finegoldii-DSM-17242_NCBI	xjin_test6
Alistipes-ihumii-AP11_MAF-2	xjin_test6
Alistipes-indistinctus-YIT-12060_MAF-2	xjin_test6
Alistipes-onderdonkii-DSM-19147_MAF-2	xjin_test6
Alistipes-putredinis-DSM-17216_MAF-2	xjin_test6
Alistipes-senegalensis-JC50_MAF-2	xjin_test6
Alistipes-shahii-WAL-8301_MAF-2	xjin_test6
Anaerobutyricum-hallii-DSM-3353_MAF-2	xjin_test6
Anaerostipes-caccae-DSM-14662_MAF-2	xjin_test6
Anaerotruncus-colihominis-DSM-17241_MAF-2	xjin_test6
Bacteroides-caccae-ATCC-43185_MAF-2	xjin_test6
Bacteroides-cellulosilyticus-DSM-14838_MAF-2	xjin_test6
Bacteroides-coprocola-DSM-17136_MAF-2	xjin_test6
Bacteroides-coprophilus-DSM-18228_MAF-2	xjin_test6
Bacteroides-dorei-5-1-36-D4_MAF-2	xjin_test6
Bacteroides-dorei-DSM-17855_MAF-2	xjin_test6
Bacteroides-eggerthii-DSM-20697_MAF-2	xjin_test6
Bacteroides-finegoldii-DSM-17565_MAF-2	xjin_test6
Bacteroides-fragilis-2-1-16_MAF-2	xjin_test6
Bacteroides-fragilis-3-1-12_MAF-2	xjin_test6
Bacteroides-intestinalis-DSM-17393_MAF-2	xjin_test6
Bacteroides-ovatus-ATCC-8483_MAF-2	xjin_test6
Bacteroides-pectinophilus-ATCC-43243_MAF-2	xjin_test6
Bacteroides-plebeius-DSM-17135_MAF-2	xjin_test6
Bacteroides-rodentium-JCM-16496_MAF-2	xjin_test6
Bacteroides-sp-2-1-22_MinIONHybrid	xjin_test6
Bacteroides-sp-3-1-19_MAF-2	xjin_test6
Bacteroides-sp-9-1-42FAA_MAF-2	xjin_test6
Bacteroides-sp-D2_MAF-2	xjin_test6
Bacteroides-stercoris-ATCC-43183_MAF-2	xjin_test6
Bacteroides-thetaiotaomicron-1-1-6_MAF-2	xjin_test6
Bacteroides-thetaiotaomicron-VPI-5482_MAF-2	xjin_test6
Bacteroides-uniformis-ATCC-8492_MAF-2	xjin_test6
Bacteroides-vulgatus-ATCC-8482_NCBI	xjin_test6
Bacteroides-xylanisolvens-SD-CC-1b_MAF-2	xjin_test6
Bifidobacterium-adolescentis-L2-32_MAF-2	xjin_test6
Bifidobacterium-breve-JCM-1192_MAF-2	xjin_test6
Bifidobacterium-catenulatum-JCM-1194_MAF-2	xjin_test6
Bifidobacterium-longum-ATCC-15697_MAF-2	xjin_test6
Bifidobacterium-pseudocatenulatum-JCM-1200_MAF-2	xjin_test6
Bilophila-wadsworthia-ATCC-49260_MinIONHybrid	xjin_test6
Blautia-hansenii-DSM-20583_MAF-2	xjin_test6
Blautia-hydrogenotrophica-DSM-10507_MAF-2	xjin_test6
Blautia-obeum-ATCC-29174_MAF-2	xjin_test6
Blautia-sp-KLE-1732_MAF-2	xjin_test6
Blautia-wexlerae-DSM-19850_MAF-2	xjin_test6
Burkholderiales-bacterium-1-1-47_MAF-2	xjin_test6
Butyricimonas-virosa-DSM-23226_MAF-2	xjin_test6
Butyrivibrio-crossotus-DSM-2876_MAF-2	xjin_test6
Catenibacterium-mitsuokai-DSM-15897_MAF-2	xjin_test6
Clostridiales-bacterium-VE202-14_MinIONHybrid	xjin_test6
Clostridiales-bacterium-VE202-27_MinIONHybrid	xjin_test6
Clostridium-hylemonae-DSM-15053_MAF-2	xjin_test6
Clostridium-leptum-DSM-753_MAF-2	xjin_test6
Clostridium-scindens-ATCC-35704_MAF-2	xjin_test6
Clostridium-sp-ATCC-29733_MAF-2	xjin_test6
Clostridium-sp-D5_MAF-2	xjin_test6
Clostridium-sp-L2-50_MinIONHybrid	xjin_test6
Clostridium-sp-M62-1_MAF-2	xjin_test6
Clostridium-spiroforme-DSM-1552_MAF-2	xjin_test6
Clostridium-sporogenes-ATCC-15579_MinIONHybrid	xjin_test6
Collinsella-aerofaciens-ATCC-25986_MAF-2	xjin_test6
Collinsella-stercoris-DSM-13279_MAF-2	xjin_test6
Coprococcus-comes-ATCC-27758_MAF-2	xjin_test6
Coprococcus-eutactus-ATCC-27759_MAF-2	xjin_test6
Desulfovibrio-piger-ATCC-29098_MAF-2	xjin_test6
Dialister-invisus-DSM-15470_MAF-2	xjin_test6
Dorea-formicigenerans-ATCC-27755_MAF-2	xjin_test6
Dorea-longicatena-DSM-13814_MAF-2	xjin_test6
Eggerthella-lenta-DSM-2243_MAF-2	xjin_test6
Enterocloster-asparagiformis-DSM-15981_MAF-2	xjin_test6
Enterocloster-bolteae-ATCC-BAA-613_MAF-2	xjin_test6
Eubacterium-rectale-ATCC-33656_NCBI	xjin_test6
Eubacterium-siraeum-DSM-15702_MAF-2	xjin_test6
Eubacterium-ventriosum-ATCC-27560_MAF-2	xjin_test6
Faecalibacterium-prausnitzii-A2-165_MAF-2	xjin_test6
Granulicatella-adiacens-ATCC-49175_MAF-2	xjin_test6
Holdemanella-biformis-DSM-3989_MAF-2	xjin_test6
Holdemania-filiformis-DSM-12042_MAF-2	xjin_test6
Hungatella-hathewayi-DSM-13479_MinIONHybrid	xjin_test6
Intestinibacter-bartlettii-DSM-16795_MAF-2	xjin_test6
Intestinimonas-butyriciproducens-DSM-26588_MAF-2	xjin_test6
Lachnospira-eligens-ATCC-27750_MAF-2	xjin_test6
Lacrimispora-saccharolytica-WM1_MAF-2	xjin_test6
Lactobacillus-plantarum-ATCC-BAA-793_NCBI	xjin_test6
Lactobacillus-ruminis-ATCC-25644_MAF-2	xjin_test6
Lactococcus-lactis-DSMZ-20729_MAF-2	xjin_test6
Marvinbryantia-formatexigens-DSM-14469_MAF-2	xjin_test6
Megasphaera-DSMZ-102144_MinIONHybrid	xjin_test6
Mitsuokella-multacida-DSM-20544_MAF-2	xjin_test6
Odoribacter-splanchnicus-DSM-20712_MAF-2	xjin_test6
Olsenella-uli-DSM-7084_MAF-2	xjin_test6
Oscillibacter-sp-KLE-1728_MAF-2	xjin_test6
Parabacteroides-distasonis-ATCC-8503_MAF-2	xjin_test6
Parabacteroides-johnsonii-DSM-18315_MAF-2	xjin_test6
Parabacteroides-merdae-ATCC-43184_MAF-2	xjin_test6
Parabacteroides-sp-D13_MAF-2	xjin_test6
Peptostreptococcus-anaerobius-ATCC-27337_MAF-2	xjin_test6
Peptostreptococcus-sp-CC14N-HM-1051_MAF-2	xjin_test6
Prevotella-buccae-D17_MAF-2	xjin_test6
Prevotella-buccalis-ATCC-35310_MAF-2	xjin_test6
Prevotella-copri-DSM-18205_MAF-2	xjin_test6
Roseburia-intestinalis-L1-82_MAF-2	xjin_test6
Roseburia-inulinivorans-DSM-16841_MAF-2	xjin_test6
Ruminococcus-albus-8_MAF-2	xjin_test6
Ruminococcus-bromii-ATCC-27255_MAF-2	xjin_test6
Ruminococcus-gauvreauii-DSM-19829_MAF-2	xjin_test6
Ruminococcus-gnavus-ATCC-29149_MinIONHybrid	xjin_test6
Ruminococcus-lactaris-ATCC-29176_MAF-2	xjin_test6
Ruminococcus-torques-ATCC-27756_MAF-2	xjin_test6
Slackia-exigua-ATCC-700122_MAF-2	xjin_test6
Slackia-heliotrinireducens-DSM-20476_MAF-2	xjin_test6
Solobacterium-moorei-DSM-22971_MAF-2	xjin_test6
Streptococcus-thermophilus-LMD-9_MAF-2	xjin_test6
Subdoligranulum-sp-4-3-54A2FAA_MAF-2	xjin_test6
Subdoligranulum-variabile-DSM-15176_MAF-2	xjin_test6
Turicibacter-sanguinis-DSM-14220_MAF-2	xjin_test6
Tyzzerella-nexilis-DSM-1787_MAF-2	xjin_test6
Veillonella-dispar-ATCC-17748_MAF-2	xjin_test6
Veillonella-sp-3-1-44_MAF-2	xjin_test6
Veillonella-sp-6-1-27_MAF-2	xjin_test6
